Des'n	H	G	Epoch	M	Peri.	Node	Incl.	e	n	a	#Obs	#Opp	rms	Per	ts
d	c	c	d	c	c	c	c	c	c	c	c	c	c	d	d
1566	16.9	0.15	K161D	223.32108	31.37858	88.01663	22.82823	0.8268941	0.88051721	1.078063	1017	33	1.08	M-v	3Eh
1620	15.6	0.15	K161D	180.47273	276.87866	337.21641	13.33771	0.3354148	0.70920276	1.2453434	3493	31	1.81	M-v	3Eh
1862	16.25	0.09	K161D	283.82134	285.97279	35.6397	6.35478	0.5599037	0.55288217	1.4702155	1258	26	0.52	M-h	3Eh
1981	15.2	0.15	K161D	6.62914	267.79861	356.90525	39.83312	0.6500106	0.41638074	1.7761336	529	21	0.45	M-h	3Eh
2101	18.8	0.15	K161D	81.59272	43.24174	349.8423	1.33041	0.7638281	0.38390306	1.8749441	91	8	0.86	M-h	3Eh
2102	16	0.15	K161D	85.78649	61.55501	94.36995	64.00534	0.2991488	0.6726565	1.2900518	673	16	0.48	M-h	3Eh
2135	17.94	0.15	K161D	83.44437	290.87401	191.22122	23.06143	0.5030548	0.48723535	1.5994728	45	9	0.65	M-h	3Eh
2201	15.25	0.15	K161D	71.37942	98.22868	75.00966	2.52239	0.7131248	0.30733611	2.1746715	817	24	0.53	M-v	3Eh
2340	20.2	0.15	K161D	304.52515	39.98199	211.44129	5.85602	0.4498822	1.27132214	0.8439155	321	7	0.62	M-h	3Eh
3122	14.1	0.15	K161D	100.14583	27.72287	336.12126	22.16219	0.4227358	0.41903398	1.7686282	1581	23	0.43	M-h	3Eh
3200	14.6	0.15	K161D	208.83334	322.1491	265.25513	22.24287	0.8898752	0.6876795	1.2711945	3132	30	0.48	M-v	3Eh
3361	19.03	0.15	K161D	175.49187	301.76777	189.40138	2.68456	0.3228121	0.7407253	1.2097564	620	14	0.53	M-h	3Eh
3362	18.3	0.15	K161D	35.75877	55.03499	152.45246	9.9173	0.4685318	1.00132812	0.989506	251	18	0.68	M-v	3Eh
3671	16.5	0.15	K161D	244.40808	204.21734	82.13197	13.53471	0.541471	0.30227236	2.1988913	476	13	0.59	M-h	3Eh
3757	18.95	0.15	K161D	104.61782	17.16752	74.97328	3.86822	0.4456174	0.39664406	1.8345748	150	7	0.88	M-v	3Eh
4015	15.99	0.15	K161D	161.9122	92.63706	269.21653	2.76832	0.6269775	0.22987692	2.639201	852	17	0.51	M-h	3Eh
4034	18.4	0.15	K161D	249.06508	296.62477	157.96075	11.16902	0.4440327	0.90342175	1.0597637	465	16	0.51	M-h	3Eh
4179	15.3	0.1	K161D	281.88328	278.72596	124.37362	0.44712	0.6293824	0.24427497	2.5344481	5320	25	0.57	M-v	3Eh
4183	14.4	0.15	K161D	126.46166	236.2885	294.92953	6.70654	0.6344129	0.35311576	1.9824001	1763	25	0.5	M-v	3Eh
4450	17.1	0.15	K161D	171.29742	291.77558	311.85262	5.51978	0.5865445	0.56903851	1.4422535	859	20	0.5	M-h	3Eh
4486	15.6	0.15	K161D	270.66737	168.87605	82.24798	3.03952	0.6628382	0.30216804	2.1993974	694	22	0.52	M-v	3Eh
4581	20.7	0.15	K161D	41.81137	255.28885	180.27663	4.91934	0.3569738	0.95323851	1.0225118	176	7	0.5	M-v	3Eh
4660	18.2	0.15	K161D	253.789	158.01941	314.45887	1.43183	0.359973	0.54260292	1.4887255	519	12	0.58	M-v	3Eh
4769	16.9	0.15	K161D	327.22558	121.35332	325.59194	8.88627	0.4831284	0.89896177	1.0632659	228	14	0.72	M-v	3Eh
4953	14.1	0.15	K161D	197.21653	77.74827	77.73747	24.38786	0.6576183	0.47745578	1.6212399	203	21	0.7	M-v	3Eh
5011	16.4	0.15	K161D	106.34252	105.74771	10.78193	7.40756	0.5000115	0.47120586	1.6355441	528	18	0.47	M-h	3Eh
5189	17.9	0.15	K161D	66.31542	159.65731	135.33737	3.58366	0.4781171	0.51005648	1.5514003	251	14	0.43	M-h	3Eh
5604	17.1	0.15	K161D	345.67629	82.42611	312.12913	4.73975	0.4060054	1.10122745	0.9287198	312	12	0.55	M-h	3Eh
5693	16.6	0.15	K161D	161.75296	258.84155	97.08054	5.05453	0.5852961	0.68766941	1.2712069	844	21	0.49	M-h	3Eh
6037	18.7	0.15	K161D	209.31969	242.07544	182.48183	3.49961	0.4995955	0.68771565	1.2711499	395	12	0.69	M-v	3Eh
6239	18.5	0.15	K161D	191.37361	239.66276	344.61795	3.94498	0.4127584	0.79765641	1.1514864	870	15	0.45	M-h	3Eh
6489	19.2	0.15	K161D	66.98717	68.57601	209.54372	2.2663	0.6124112	0.25157691	2.4851667	935	7	0.71	M-v	3Eh
6491	18.9	0.15	K161D	65.45591	323.57847	301.93116	5.94359	0.5904816	0.24923159	2.500733	179	7	0.53	M-h	3Eh
7335	17	0.15	K161D	90.81658	232.26483	61.3366	15.19537	0.4842292	0.41838234	1.7704642	337	12	0.63	M-v	3Eh
7341	16.7	0.15	K161D	216.0217	173.36686	294.87372	5.41925	0.5065673	0.3942544	1.8419804	936	12	0.6	M-v	3Eh
7482	16.8	0.15	K161D	28.90469	47.60453	117.89867	33.48816	0.3283864	0.63098238	1.3462464	513	14	0.61	M-v	3Eh
7753	18.6	0.15	K161D	121.76486	280.01491	73.45727	3.12264	0.4818382	0.55418263	1.4679145	800	15	0.55	M-v	3Eh
7822	17.4	0.15	K161D	51.56207	249.40428	156.86932	37.12193	0.1646735	0.82831065	1.1228986	858	11	0.51	M-v	3Eh
8014	18.7	0.15	K161D	5.35021	114.40371	210.26398	1.86621	0.4562732	0.42705098	1.7464235	169	8	0.61	M-v	3Eh
8566	16.3	0.15	K161D	184.18953	125.12943	164.14541	37.97528	0.430481	0.53310295	1.5063596	566	12	0.51	M-h	3Eh
9856	17.4	0.15	K161D	95.36643	116.16892	168.1673	9.82646	0.6257363	0.29347989	2.2425931	252	9	0.58	M-v	3Eh
10115	17	0.15	K161D	343.53029	233.60867	8.93156	15.32231	0.3247092	0.70662556	1.2483695	768	14	0.54	M-v	3Eh
11500	18.3	0.15	K161D	32.61559	289.43054	234.4545	10.30944	0.3558625	0.87842623	1.0797731	422	11	0.53	M-h	3Eh
12538	15.8	0.15	K161D	109.33979	321.70176	220.75282	24.52643	0.4060616	0.51497632	1.5415036	693	11	0.49	M-h	3Eh
12923	15.8	0.15	K161D	343.95083	147.08792	168.21328	5.30436	0.4920155	0.35869878	1.9617762	920	14	0.5	M-h	3Eh
13651	17.6	0.15	K161D	19.09809	133.78795	116.6799	17.24773	0.3055191	0.63873265	1.3353342	658	12	0.68	M-v	3Eh
14827	18.3	0.15	K161D	83.23606	238.11538	57.97714	1.98084	0.6655665	0.2057844	2.8413698	161	3	0.72	M-v	3Eh
16960	14.3	0.15	K161D	63.23849	242.88674	260.53617	17.55698	0.8580272	0.30150398	2.2026256	1040	17	0.49	M-h	3Eh
20425	20.4	0.15	K161D	221.26937	296.15238	227.3772	6.98353	0.4765264	0.50358082	1.5646718	51	4	0.55	M-v	3Eh
22753	17.7	0.15	K161D	341.78662	324.70075	307.46382	3.20434	0.5698001	0.73234158	1.2189716	726	14	0.53	M-v	3Eh
23187	16.1	0.15	K161D	350.76494	293.55056	164.3602	51.31556	0.5894066	0.39272283	1.8467664	1206	11	0.47	M-v	3Eh
25143	19.2	0.15	K161D	232.69206	162.80627	69.08045	1.62145	0.280142	0.64687751	1.3241017	1043	9	0.53	M-v	3Eh
26663	18.1	0.15	K161D	267.91734	231.08741	303.70306	13.53911	0.4718569	0.5128031	1.5458557	183	10	0.42	M-h	3Eh
27002	18.2	0.15	K161D	274.03897	0.75553	130.39688	8.69705	0.4334025	0.42802054	1.7437851	337	10	0.54	M-h	3Eh
29075	17.1	0.15	K161D	238.49151	224.63612	356.685	12.17166	0.5079372	0.44530621	1.6983618	525	12	1.08	M-v	3Eh
31669	16	0.15	K161D	167.3739	39.09937	78.84804	9.54199	0.5773732	0.3154978	2.1370032	492	7	0.55	M-v	3Eh
33342	17.9	0.15	K161D	252.54595	167.29188	81.94407	7.35695	0.4177641	1.61772352	0.7186761	1560	11	0.55	M-v	3Eh
35107	16.7	0.15	K161D	20.36071	206.92087	139.36937	13.91152	0.1443262	0.81251566	1.1374044	2611	6	0.36	M-h	3Eh
35396	16.9	0.15	K161D	251.79158	102.92107	213.7729	4.09839	0.4839001	0.56876361	1.4427182	1067	14	0.6	M-v	3Eh
37638	19.3	0.15	K161D	122.17388	323.0562	145.67528	5.07822	0.5194118	0.37351213	1.9095582	97	6	0.52	M-h	3Eh
37655	17.9	0.15	K161D	299.48149	303.71673	139.69982	18.00161	0.7523523	0.54849264	1.478049	420	9	0.55	M-v	3Eh
38071	19.6	0.15	K161D	198.12532	8.79905	195.53261	12.72992	0.5067503	0.3261728	2.0901184	442	5	0.61	M-v	3Eh
39572	16.5	0.15	K161D	200.93923	344.78458	313.59004	10.02866	0.4925197	0.33907798	2.0367434	650	14	0.49	M-h	3Eh
41429	20.5	0.15	K161D	273.76309	297.19009	351.97365	2.17342	0.555227	0.49031023	1.5927786	294	10	0.54	M-h	3Eh
52760	17.5	0.15	K161D	223.47916	20.18898	338.79166	2.42989	0.6227469	0.2633495	2.4105402	581	4	0.52	M-v	3Eh
52768	15.9	0.15	K161D	302.70777	174.43003	27.06521	5.87976	0.5728213	0.26853488	2.379408	445	15	0.48	M-h	3Eh
53319	15.2	0.15	K161D	247.68714	166.76337	133.69951	13.85627	0.6421952	0.21903059	2.7256256	726	12	0.53	M-h	3Eh
53426	17.2	0.15	K161D	65.25663	43.31648	239.10496	22.77428	0.5383274	0.36961774	1.9229479	731	7	0.35	M-h	3Eh
53429	18.9	0.15	K161D	265.25047	64.0102	199.27147	26.79296	0.6398782	0.3426588	2.0225292	70	3	0.52	M-h	3Eh
53550	19	0.15	K161D	142.5258	324.87867	313.23713	7.17559	0.4195992	0.5390269	1.4953026	201	10	0.54	M-h	3Eh
53789	17.3	0.15	K161D	71.37023	218.31612	190.04428	40.78816	0.2689808	0.61422346	1.3706244	486	9	0.48	M-h	3Eh
65679	19.4	0.15	K161D	191.72384	14.89442	178.23775	1.2996	0.264723	1.12597891	0.9150592	397	9	0.59	M-h	3Eh
65690	19.1	0.15	K161D	163.10175	63.30872	180.16832	11.15013	0.3629692	0.57802817	1.4272609	235	11	0.5	M-h	3Eh
65717	20.9	0.15	K161D	350.62386	289.98949	175.56088	2.79074	0.280647	0.59837322	1.394723	91	6	0.62	M-h	3Eh
65803	18	0.15	K161D	283.84864	319.23178	73.22781	3.40776	0.383879	0.46745291	1.6442864	815	10	0.41	M-h	3Eh
65909	19.2	0.15	K161D	309.63135	284.43468	108.64573	3.55955	0.5397135	0.86482387	1.0910658	292	12	0.5	M-v	3Eh
66391	16.5	0.15	K161D	290.08852	192.61876	244.91887	38.88365	0.6884704	1.91477248	0.6422803	1811	13	0.65	M-v	3Eh
67367	17	0.15	K161D	301.88155	184.77569	264.55115	9.02289	0.2126419	0.65845848	1.3085303	296	10	0.43	M-h	3Eh
67381	19.8	0.15	K161D	119.6159	266.76363	294.98297	10.6662	0.5429472	0.64958227	1.3204236	202	5	0.49	M-h	3Eh
68216	16.5	0.15	K161D	21.46473	48.66729	18.18357	17.9965	0.3263935	0.65024709	1.3195234	1361	7	0.38	M-h	3Eh
68346	16.8	0.15	K161D	229.69688	140.22675	219.40956	16.69245	0.4168018	0.53249566	1.5075047	425	12	0.43	M-h	3Eh
68347	19.9	0.15	K161D	251.13517	243.86565	245.92602	17.13791	0.3798047	1.04319931	0.9628483	199	4	0.49	M-v	3Eh
68372	18.8	0.15	K161D	65.83132	322.18251	253.05247	8.09927	0.4156316	0.47880753	1.6181871	277	8	0.46	M-h	3Eh
68548	16.5	0.15	K161D	212.07982	24.65711	302.08478	22.72139	0.4364648	0.4419251	1.7070134	368	7	0.44	M-h	3Eh
68950	16.4	0.15	K161D	32.0781	255.53374	236.2492	25.154	0.344285	0.90731379	1.0567308	995	12	0.43	M-v	3Eh
69230	17.5	0.15	K161D	238.055	92.74758	34.2245	6.06764	0.6239817	0.46290493	1.6550388	990	9	0.57	M-v	3Eh
85182	17.1	0.15	K161D	186.82597	242.90385	339.7137	3.12824	0.7765687	0.29758367	2.221928	313	11	0.6	M-v	3Eh
85236	18.6	0.15	K161D	111.32032	293.82157	54.41114	12.80361	0.311213	0.71900107	1.2340034	285	10	0.54	M-h	3Eh
85585	21.6	0.15	K161D	63.62004	95.35841	2.36591	4.08333	0.3562467	0.66686833	1.2975058	192	4	0.63	M-v	3Eh
85640	21.1	0.15	K161D	227.77559	117.1094	299.70782	4.51346	0.4857611	0.49613852	1.5802801	236	6	0.44	M-h	3Eh
85713	15.6	0.15	K161D	138.15927	102.44608	41.50677	10.76345	0.639453	0.36938067	1.9237706	504	14	0.47	M-h	3Eh
85774	19.2	0.15	K161D	80.92711	50.07897	64.67328	13.58958	0.3290028	0.59295934	1.4031996	586	6	0.64	M-v	3Eh
85938	18.6	0.15	K161D	232.00397	197.61212	19.9175	9.14607	0.4835947	0.39074935	1.8529792	597	8	0.53	M-v	3Eh
85989	17.1	0.15	K161D	137.83233	309.18374	130.21398	17.05703	0.6328038	1.18777579	0.8830387	2405	13	0.47	M-v	3Eh
85990	20.2	0.15	K161D	76.26691	235.33381	124.36982	5.35357	0.3113872	0.9749092	1.0073026	920	18	0.51	M-h	3Eh
86039	16	0.15	K161D	306.36106	120.56941	311.81504	7.12328	0.5790042	0.42219428	1.7597913	874	12	0.39	M-h	3Eh
86819	17.4	0.15	K161D	174.0322	150.24611	164.92848	10.06017	0.5063024	0.34956167	1.9958145	669	10	0.46	M-h	3Eh
87684	16	0.15	K161D	178.99214	47.75021	162.05831	19.2295	0.6427381	1.2388011	0.8586213	437	13	0.47	M-h	3Eh
88254	17.6	0.15	K161D	233.22443	139.98588	272.31256	1.52096	0.6295071	0.7669655	1.1820037	383	12	0.48	M-h	3Eh
89136	20.2	0.15	K161D	135.28672	67.10957	175.96451	1.90514	0.2528461	0.62417569	1.356016	1246	6	0.47	M-v	3Eh
89830	14.9	0.15	K161D	280.23823	5.68145	19.93426	43.70175	0.507564	0.32933638	2.0767119	724	10	0.41	M-h	3Eh
89958	17	0.15	K161D	126.82225	222.57696	188.48423	9.95975	0.8862751	0.46864909	1.6414873	512	14	0.45	M-h	3Eh
89959	16.4	0.15	K161D	266.93182	300.67231	132.08168	42.33662	0.5286586	0.4311325	1.7353838	487	11	0.49	M-h	3Eh
90075	15.2	0.15	K161D	196.69267	30.62982	226.80127	8.91685	0.5760318	0.31634169	2.1332009	626	13	0.43	M-h	3Eh
90403	17.6	0.15	K161D	201.48312	306.81551	286.2807	19.00438	0.2801405	0.71852478	1.2345487	855	11	0.44	M-v	3Eh
90416	18.7	0.15	K161D	128.17786	233.03112	326.91386	7.83972	0.4920179	0.4465518	1.6952021	837	10	0.4	M-h	3Eh
99248	16.4	0.15	K161D	202.95353	61.40767	284.25159	10.61352	0.5073408	0.38636453	1.8669723	449	13	0.45	M-h	3Eh
99942	19.2	0.15	K161D	268.52148	126.47728	204.19996	3.33078	0.191197	1.11303358	0.9221407	4452	10	0.33	M-v	3Eh
A0085	17.8	0.15	K161D	149.43159	39.0487	308.02036	2.75593	0.624061	0.2285102	2.6497139	563	7	0.43	M-v	3Eh
A1869	19.3	0.15	K161D	329.2053	268.61424	111.07799	4.7651	0.610948	0.47619905	1.624091	185	9	0.57	M-v	3Eh
A1955	20.9	0.15	K161D	177.70562	66.28592	2.03293	6.03502	0.2036923	0.8249179	1.1259754	561	3	0.44	M-v	3Eh
A3067	16.8	0.15	K161D	109.31405	103.97971	116.66754	38.54073	0.5816514	0.39371771	1.843654	477	6	0.42	M-h	3Eh
B1253	15.1	0.15	K161D	144.12061	6.90693	310.1814	42.03849	0.439577	0.42444784	1.7535568	527	10	0.46	M-h	3Eh
D6617	17.7	0.15	K161D	38.86803	24.86116	268.56506	4.6806	0.4169507	0.47024691	1.6377669	609	13	0.49	M-v	3Eh
D6618	16.8	0.15	K161D	181.53336	248.24451	99.34162	1.439	0.3949699	0.49943056	1.5733281	502	12	0.47	M-h	3Eh
D6795	18.1	0.15	K161D	54.21776	147.40004	50.21681	11.00484	0.4783849	0.42735826	1.7455863	229	10	0.53	M-h	3Eh
D6849	17.7	0.15	K161D	273.21612	97.63321	110.80732	7.78973	0.5783122	0.54118592	1.491323	314	10	0.47	M-h	3Eh
D7108	17.9	0.15	K161D	186.68789	268.30086	314.40769	39.93224	0.5621177	0.55943432	1.4587134	164	7	0.47	M-h	3Eh
D7120	18.1	0.15	K161D	148.12511	221.79932	339.63323	8.99255	0.550036	0.37643397	1.8996642	305	8	0.44	M-h	3Eh
D7126	18	0.15	K161D	25.12965	90.21418	157.10986	5.5472	0.6000975	0.41748858	1.7729901	620	10	0.49	M-h	3Eh
D7427	15.2	0.15	K161D	29.19913	161.78318	348.15011	39.19157	0.6103894	0.25735578	2.4478235	319	8	0.46	M-h	3Eh
D8127	17.1	0.15	K161D	338.477	197.8288	155.77251	26.46438	0.533066	1.83054055	0.6618351	352	13	0.58	M-h	3Eh
D8175	20.3	0.15	K161D	158.16445	281.02009	25.62318	5.2385	0.2931804	0.97914269	1.004397	751	17	0.63	M-v	3Eh
D8404	19.1	0.15	K161D	65.11799	142.04945	309.58813	2.16932	0.3187755	0.81002437	1.1397353	225	9	0.52	M-h	3Eh
D8524	16.7	0.15	K161D	56.75296	181.19337	226.6615	6.21864	0.5652982	0.27168194	2.3609976	807	8	0.41	M-h	3Eh
D8727	19	0.15	K161D	336.42414	135.99469	328.11727	11.88855	0.6072547	0.32311438	2.1032869	173	7	0.51	M-v	3Eh
D8971	18.4	0.15	K161D	357.27244	271.74744	353.76792	7.90218	0.3334967	0.93661324	1.0345763	1088	10	0.43	M-h	3Eh
D9211	18	0.15	K161D	303.01719	3.37942	173.57779	26.07148	0.4524311	0.38874085	1.8593562	190	8	0.47	M-h	3Eh
D9359	16.6	0.15	K161D	122.7729	300.2538	86.5059	5.79563	0.8659783	0.22850883	2.6497245	431	6	0.45	M-h	3Eh
D9622	18.4	0.15	K161D	131.92878	337.85841	83.28331	9.31553	0.3111985	0.58073975	1.4228147	327	7	0.42	M-h	3Eh
E0039	18.4	0.15	K161D	18.97803	30.85736	197.23151	4.8552	0.5687301	0.40127743	1.8204254	250	8	0.4	M-h	3Eh
E0158	18.3	0.15	K161D	237.42106	42.62869	126.91158	2.51323	0.4609212	0.63031626	1.3471947	266	9	0.44	M-h	3Eh
E0288	16.7	0.15	K161D	100.95754	225.58821	357.11531	53.2323	0.5075804	0.41357343	1.784162	215	9	0.51	M-h	3Eh
E1053	18.7	0.15	K161D	198.70177	31.18237	316.42938	2.7394	0.5793721	0.52194008	1.5277617	170	9	0.44	M-h	3Eh
E1432	20	0.15	K161D	218.01175	272.76726	81.36108	2.46327	0.4283269	1.01835479	0.9784455	467	11	0.59	M-v	3Eh
E1495	18.3	0.15	K161D	32.91305	317.67289	51.96706	2.35328	0.8022026	0.83798722	1.1142375	545	11	0.54	M-h	3Eh
E1525	17.9	0.15	K161D	347.88012	308.08054	38.88341	34.02451	0.7248054	0.86988995	1.0868256	322	9	0.61	M-h	3Eh
E1527	18.9	0.15	K161D	188.94883	247.50842	187.63246	9.20783	0.6267455	0.52925452	1.513653	679	8	0.37	M-h	3Eh
E1593	18.1	0.15	K161D	267.58776	2.19582	307.09799	2.35195	0.5288265	0.34770962	2.0028953	561	5	0.53	M-v	3Eh
E1614	19.4	0.15	K161D	184.48537	127.28876	200.69623	7.17827	0.5362711	0.47639049	1.6236559	255	6	0.45	M-v	3Eh
E1851	17.7	0.15	K161D	125.68821	224.36892	304.16323	19.18298	0.850157	0.7517415	1.1979086	474	12	0.52	M-h	3Eh
E3404	16.8	0.15	K161D	179.87962	89.21293	181.3674	2.66608	0.6060251	0.35750293	1.9661485	383	13	0.46	M-h	3Eh
E3487	18.7	0.15	K161D	31.60945	88.73867	177.16005	4.98909	0.7294269	0.31810318	2.1253186	281	7	0.49	M-h	3Eh
E3649	17.4	0.15	K161D	264.75532	104.99861	0.99798	62.10211	0.1869876	0.87162394	1.0853837	423	8	0.45	M-h	3Eh
E3651	16	0.15	K161D	44.69438	183.50567	58.22812	11.60423	0.5241628	0.31581229	2.1355842	893	11	0.45	M-h	3Eh
E3992	16	0.15	K161D	145.55317	57.86607	315.73416	27.14723	0.553404	0.35595415	1.9718476	443	8	0.44	M-h	3Eh
E4332	16.4	0.15	K161D	148.13676	186.35634	171.14787	55.89941	0.2894659	0.58081726	1.4226881	384	8	0.52	M-h	3Eh
E4898	18.8	0.15	K161D	42.84387	90.92907	224.05531	4.22344	0.5889007	0.53234068	1.5077972	961	8	0.36	M-h	3Eh
E4900	18.3	0.15	K161D	319.68497	43.90652	208.87863	36.26053	0.6554934	1.0343966	0.9683031	336	11	0.51	M-v	3Eh
F2560	19	0.15	K161D	237.80942	80.84587	268.90549	3.44489	0.3982211	0.56818574	1.4436963	326	9	0.45	M-h	3Eh
F2561	19	0.15	K161D	281.81835	68.86153	359.38106	19.58425	0.4855399	0.5618418	1.4545434	65	6	0.56	M-h	3Eh
F2637	18	0.15	K161D	155.90865	16.65746	96.54212	16.71669	0.2083922	1.22398108	0.8655382	143	8	0.57	M-h	3Eh
F2664	19.7	0.15	K161D	197.24763	81.04179	357.76445	3.46938	0.7216283	0.24765276	2.5113501	437	9	0.38	M-h	3Eh
F2671	20	0.15	K161D	176.72057	188.10831	163.71043	2.67942	0.366048	0.82188583	1.128743	176	7	0.6	M-h	3Eh
F2680	19.4	0.15	K161D	6.26705	259.9527	98.67458	10.93243	0.6399544	0.56581682	1.447723	188	5	0.56	M-h	3Eh
F2685	19.3	0.15	K161D	130.72986	39.90633	121.59779	0.14589	0.5732026	0.63049402	1.3469415	249	7	0.54	M-h	3Eh
F2754	19.1	0.15	K161D	17.09064	134.86002	314.54139	2.02065	0.4973224	0.75825814	1.1910354	261	8	0.48	M-h	3Eh
F2770	18.4	0.15	K161D	86.82309	284.34743	178.40427	7.13559	0.6536355	0.3828536	1.8783689	465	6	0.51	M-v	3Eh
F2828	21.2	0.15	K161D	256.10493	319.12326	222.02235	5.14874	0.5231692	0.78698115	1.1618761	107	7	0.59	M-h	3Eh
F2978	19.6	0.15	K161D	136.62598	240.7883	57.88287	25.00707	0.2366199	0.78675761	1.1620962	405	8	0.5	M-h	3Eh
F3002	18.2	0.15	K161D	75.6269	233.35648	213.15587	31.46286	0.7957191	0.63499973	1.3405624	365	9	0.64	M-h	3Eh
F3201	19.3	0.15	K161D	194.20772	213.69847	69.26836	7.7715	0.7806315	1.13282395	0.9113694	364	12	0.56	M-v	3Eh
F3220	17.4	0.15	K161D	226.391	138.12126	67.87296	5.87932	0.6763741	0.24609591	2.5219305	127	8	0.49	M-h	3Eh
F3311	17.2	0.15	K161D	226.59725	218.41361	142.4026	28.42303	0.6452553	0.2490175	2.5021661	155	6	0.5	M-h	3Eh
F3814	18.3	0.15	K161D	142.29966	44.43866	277.60905	1.92116	0.4674218	0.44006912	1.7118096	441	9	0.42	M-h	3Eh
F3958	18.3	0.15	K161D	187.9693	197.88325	144.40676	4.64501	0.4515245	0.44324509	1.7036227	628	9	0.49	M-v	3Eh
F4019	22	0.15	K161D	357.92908	80.77502	142.90073	4.97095	0.3602442	0.64568793	1.3257275	63	4	0.53	M-v	3Eh
F4269	17.8	0.15	K161D	148.8219	217.19942	10.91171	14.42996	0.4861202	0.38488485	1.8717543	206	8	0.53	M-h	3Eh
F4275	20.1	0.15	K161D	202.66699	258.13665	247.85196	11.57887	0.4907129	0.8743242	1.0831478	368	7	0.58	M-h	3Eh
F4276	17.6	0.15	K161D	310.76979	99.39443	34.30122	8.7443	0.6894461	0.44295139	1.7043757	624	4	0.52	M-v	3Eh
F4302	17.6	0.15	K161D	271.70091	280.89339	222.82845	28.81772	0.5617602	0.43713914	1.7194501	391	8	0.4	M-h	3Eh
F4330	18.1	0.15	K161D	35.72323	215.05793	320.19222	7.1622	0.4087069	0.54935955	1.4764937	174	10	0.52	M-h	3Eh
F4590	21.7	0.15	K161D	222.59322	228.91438	152.65096	1.41309	0.4022882	0.84813731	1.10533	87	6	0.5	M-h	3Eh
F5338	20.5	0.15	K161D	276.77067	138.55199	226.6811	2.0803	0.482852	0.5014949	1.5690075	126	4	0.46	M-v	3Eh
F9504	17	0.15	K161D	28.21903	237.6764	107.73254	9.70114	0.6185216	0.25987701	2.4319659	522	8	0.36	M-h	3Eh
F9857	15.4	0.15	K161D	113.34723	139.70787	235.77599	23.04351	0.5924201	0.28894926	2.2659743	1314	9	0.38	M-h	3Eh
G1989	17.1	0.15	K161D	208.54419	102.1548	161.24542	26.06172	0.2139465	0.82820021	1.1229985	1028	6	0.53	M-h	3Eh
G2000	19.4	0.15	K161D	229.2732	21.43837	346.62912	1.09444	0.4628313	0.45341954	1.678041	349	7	0.42	M-h	3Eh
G2039	19.5	0.15	K161D	22.12539	280.17674	52.90728	5.28135	0.661079	0.40765924	1.8013766	347	4	0.65	M-v	3Eh
G2082	18.9	0.15	K161D	121.46551	148.487	213.57523	20.04613	0.1872021	0.70837639	1.2463117	253	6	0.55	M-h	3Eh
G2116	19.4	0.15	K161D	158.50576	331.31208	114.28515	7.1009	0.5577195	0.37166364	1.9158845	66	5	0.54	M-h	3Eh
G2120	20.6	0.15	K161D	19.98948	278.73075	217.95247	2.13043	0.5709929	0.86837136	1.0880923	184	5	0.69	M-h	3Eh
G2162	19.9	0.15	K161D	248.34192	29.86713	157.61853	10.84113	0.1948408	0.74438853	1.2057842	217	5	0.55	M-h	3Eh
G2173	19.2	0.15	K161D	58.18152	211.45469	251.60335	5.88358	0.1902107	0.75968168	1.189547	614	5	0.46	M-h	3Eh
G2183	21	0.15	K161D	166.54965	122.78673	235.63529	1.42476	0.5344658	0.3297265	2.0750735	145	4	0.57	M-v	3Eh
G2210	19.1	0.15	K161D	259.44428	319.13423	327.76341	5.20462	0.6947007	0.28259429	2.2998197	316	5	0.57	M-h	3Eh
G2361	20.1	0.15	K161D	310.85831	200.1349	110.78863	2.69657	0.4114756	1.19825298	0.8778838	289	7	0.46	M-h	3Eh
G2416	21.7	0.15	K161D	74.81934	19.09791	215.22638	0.39806	0.4782595	0.39044558	1.8539401	56	3	0.53	M-v	3Eh
G2421	18	0.15	K161D	207.28407	46.10753	331.15916	22.32426	0.1236913	1.07015608	0.9466105	332	6	0.44	M-h	3Eh
G2422	20.5	0.15	K161D	23.34237	314.49825	108.93963	1.39895	0.5310345	0.74286849	1.2074285	197	5	0.52	M-h	3Eh
G2474	18.5	0.15	K161D	41.51995	285.25979	80.87619	50.70751	0.3575398	0.71301621	1.240899	184	7	0.56	M-h	3Eh
G2510	17.3	0.15	K161D	297.70793	220.6805	344.36194	38.15343	0.3021404	0.61062382	1.3760057	302	6	0.47	M-h	3Eh
G2567	19.9	0.15	K161D	268.70694	133.24516	333.33625	13.7472	0.2501198	0.70729663	1.2475798	198	4	0.51	M-h	3Eh
G2687	19.2	0.15	K161D	304.96922	40.79391	76.24298	14.78933	0.5430194	0.38346784	1.8763625	147	4	0.64	M-h	3Eh
G2695	20.1	0.15	K161D	307.04365	151.61426	333.39307	2.18928	0.636968	0.31884715	2.1220113	141	3	0.43	M-v	3Eh
G2783	20.8	0.15	K161D	31.75639	339.07304	64.97332	7.26237	0.2320021	0.65498813	1.3131483	122	6	0.58	M-h	3Eh
G2825	18	0.15	K161D	84.24708	78.73132	159.87447	9.07612	0.7431507	0.41702355	1.7743079	231	9	0.41	M-h	3Eh
G2882	18.6	0.15	K161D	105.57935	45.91032	341.2387	6.5003	0.5752478	0.86354487	1.0921428	191	10	0.51	M-h	3Eh
