Des'n	H	G	Epoch	M	Peri.	Node	Incl.	e	n	a	#Obs	#Opp	rms	Per	ts
d	c	c	d	c	c	c	c	c	c	c	c	c	c	d	d
K05L03	W 21.7	0.15	K161D	24.13895	288.09531	59.71758	6.06398	0.4627668	0.57522722	1.4318904	49	1	0.58	M-v	3Eh
K05L36	X 20.8	0.15	K161D	108.60693	239.10751	252.78044	32.97817	0.5753137	0.94302649	1.0298804	63	1	0.48	M-v	3Eh
K05L39	W 20.0	0.15	K161D	295.72841	275.11485	251.60279	28.46229	0.7160802	0.35166458	1.9878501	119	2	0.45	M-v	3Eh
K05M13	O 20.7	0.15	K161D	281.07693	250.14381	176.65277	6.31585	0.4106762	1.22831231	0.8635023	123	3	0.5	M-v	3Eh
K05N07	E 19.0	0.15	K161D	189.07541	306.91559	80.35816	9.52356	0.6476163	0.33685991	2.0456744	67	5	0.34	M-v	3Eh
K05O00	X 20.4	0.15	K161D	248.99405	100.27094	323.77852	7.62111	0.6173488	0.64214537	1.3305989	40	1	0.39	M-v	3Eh
K05O03	D 21.2	0.15	K161D	298.44414	38.26229	323.82188	16.21182	0.6038841	0.26979736	2.3719795	38	1	0.52	M-v	3Eh
K05O03	E 20.3	0.15	K161D	87.91818	58.33456	321.09679	25.37917	0.4282889	0.50249638	1.5669222	257	5	0.42	M-v	3Eh
K05P02	J 19.5	0.15	K161D	284.44743	128.80147	326.52353	17.41558	0.6593737	0.75164204	1.1980143	159	3	0.42	M-v	3Eh
K05P05	A 21.7	0.15	K161D	334.07836	149.02853	133.07776	15.33171	0.2268096	0.64861911	1.3217304	59	1	0.37	M-v	3Eh
K05QF1	Z 20.3	0.15	K161D	274.0334	63.02326	20.8874	4.85543	0.5798525	0.36553382	1.9372441	103	4	0.48	M-v	3Eh
K05R34	C 19.7	0.15	K161D	181.98165	35.95645	291.10672	10.78166	0.5133585	0.33292972	2.0617421	366	3	0.46	M-v	3Eh
K05S00	Q 20.3	0.15	K161D	347.08366	294.02879	318.09188	1.19966	0.5745558	0.46244149	1.6561443	74	1	0.49	M-v	3Eh
K05T00	P 20.8	0.15	K161D	336.73686	353.7309	86.44727	7.87079	0.5874108	0.2863907	2.2794502	67	2	0.4	M-v	3Eh
K05T15	S 21.1	0.15	K161D	21.74327	106.08968	16.23197	33.9976	0.3530414	0.69646284	1.2604842	96	2	0.38	M-v	3Eh
K05T49	F 19.1	0.15	K161D	298.27722	302.40859	25.74164	24.55066	0.0254524	0.926842	1.0418349	523	5	0.45	M-v	3Eh
K05T50	R 20.2	0.15	K161D	335.56553	49.2327	29.47869	34.05884	0.455623	0.48044287	1.614513	82	2	0.41	M-v	3Eh
K05T50	U 21.4	0.15	K161D	38.28163	259.55721	22.30514	12.42185	0.5963191	0.57866431	1.4262147	158	3	0.43	M-v	3Eh
K05U00	R 21.6	0.15	K161D	353.44666	141.06503	19.51234	6.96541	0.8792205	0.29065547	2.2570978	74	1	0.33	M-v	3Eh
